 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.1400000000000000E+0003  0.2416755210241906E+0002  0.2544155217005626E+0002  0.2545148906023806E+0002  0.2573494058604241E+0002  0.1950000000000000E+0002
  0.1410000000000000E+0003  0.2392740125643969E+0002  0.2518720048107367E+0002  0.2521205439307380E+0002  0.2547852095977984E+0002  0.1950000000000000E+0002
  0.1420000000000000E+0003  0.2378103319632131E+0002  0.2503940194516782E+0002  0.2507122360186807E+0002  0.2532903919837462E+0002  0.1950000000000000E+0002
  0.1430000000000000E+0003  0.2356899060767691E+0002  0.2485753948993383E+0002  0.2489326113981895E+0002  0.2514570528034277E+0002  0.1860000000000000E+0002
  0.1440000000000000E+0003  0.2340453009596102E+0002  0.2471694673109110E+0002  0.2475351010017987E+0002  0.2500376056528583E+0002  0.1860000000000000E+0002
  0.1450000000000000E+0003  0.2328780247399787E+0002  0.2460505681195247E+0002  0.2464430503873855E+0002  0.2489058531584207E+0002  0.1850000000000000E+0002
  0.1460000000000000E+0003  0.2314784836772339E+0002  0.2448590590301432E+0002  0.2452587798402184E+0002  0.2477018215419023E+0002  0.1810000000000000E+0002
  0.1470000000000000E+0003  0.2303178185508924E+0002  0.2438203430820753E+0002  0.2442284088015939E+0002  0.2466509087738261E+0002  0.1810000000000000E+0002
  0.1480000000000000E+0003  0.2292172125761119E+0002  0.2428398045973994E+0002  0.2432570260828116E+0002  0.2456584470186637E+0002  0.1800000000000000E+0002
  0.1490000000000000E+0003  0.2278228202219273E+0002  0.2417012432031507E+0002  0.2421198494632364E+0002  0.2445083066088485E+0002  0.1760000000000000E+0002
  0.1500000000000000E+0003  0.2262259162789185E+0002  0.2404492421262210E+0002  0.2408646709959666E+0002  0.2432452517649044E+0002  0.1710000000000000E+0002
  0.1510000000000000E+0003  0.2243764469942927E+0002  0.2390451631181620E+0002  0.2394567527175609E+0002  0.2418307958896463E+0002  0.1650000000000000E+0002
  0.1520000000000000E+0003  0.2234517336065865E+0002  0.2382596667961404E+0002  0.2386703076202026E+0002  0.2410355677860744E+0002  0.1625000000000000E+0002
  0.1530000000000000E+0003  0.2267942878710678E+0002  0.2403984566694730E+0002  0.2407987448807846E+0002  0.2431678770678592E+0002  0.1675000000000000E+0002
  0.1540000000000000E+0003  0.2333775923828814E+0002  0.2448384858304344E+0002  0.2452254415327860E+0002  0.2476160606267973E+0002  0.1800000000000000E+0002
  0.1550000000000000E+0003  0.2406655383542627E+0002  0.2498774763112934E+0002  0.2502088600128309E+0002  0.2526873520165197E+0002  0.1960000000000000E+0002
  0.1560000000000000E+0003  0.2471556226426167E+0002  0.2544801206003380E+0002  0.2547149580067101E+0002  0.2573400637983399E+0002  0.2060000000000000E+0002
  0.1570000000000000E+0003  0.2489530538313642E+0002  0.2558650892468466E+0002  0.2560059123021402E+0002  0.2587817249829142E+0002  0.2150000000000000E+0002
  0.1580000000000000E+0003  0.2524999773442348E+0002  0.2607714043690029E+0002  0.2608657405925577E+0002  0.2637616402296590E+0002  0.2160000000000000E+0002
  0.1590000000000000E+0003  0.2609142135026041E+0002  0.2724910883981875E+0002  0.2726494096328583E+0002  0.2755448009412990E+0002  0.2210000000000000E+0002
  0.1600000000000000E+0003  0.2663641327904983E+0002  0.2826630162932280E+0002  0.2828113317610289E+0002  0.2857435694950395E+0002  0.2250000000000000E+0002
  0.1610000000000000E+0003  0.2659729463999752E+0002  0.2863860833480003E+0002  0.2864001150261815E+0002  0.2894675048878523E+0002  0.2150000000000000E+0002
  0.1620000000000000E+0003  0.2575820321171744E+0002  0.2775837724280812E+0002  0.2774673705376422E+0002  0.2806423092184587E+0002  0.2050000000000000E+0002
  0.1630000000000000E+0003  0.2489586991330656E+0002  0.2666975446385383E+0002  0.2665371212143003E+0002  0.2697177734802241E+0002  0.2000000000000000E+0002
  0.1640000000000000E+0003  0.2450159553550315E+0002  0.2621691304653129E+0002  0.2622131358930079E+0002  0.2651490653524698E+0002  0.1900000000000000E+0002
  0.1650000000000000E+0003  0.2419254687630779E+0002  0.2586833753721424E+0002  0.2589371774943289E+0002  0.2616311914000416E+0002  0.1850000000000000E+0002
  0.1660000000000000E+0003  0.2401706974429757E+0002  0.2566454146519824E+0002  0.2569941066200267E+0002  0.2595673232693093E+0002  0.1900000000000000E+0002
  0.1670000000000000E+0003  0.2379897249949367E+0002  0.2545282680763021E+0002  0.2549408035279242E+0002  0.2574282705603463E+0002  0.1800000000000000E+0002
  0.1680000000000000E+0003  0.2357199906380956E+0002  0.2525445001332305E+0002  0.2529668675915200E+0002  0.2554248976022410E+0002  0.1750000000000000E+0002
  0.1690000000000000E+0003  0.2341332170664554E+0002  0.2510029276159396E+0002  0.2514507614367101E+0002  0.2538652886772610E+0002  0.1750000000000000E+0002
  0.1700000000000000E+0003  0.2318372379789976E+0002  0.2491215421953343E+0002  0.2495739605710800E+0002  0.2519669851828923E+0002  0.1635000000000000E+0002
  0.1710000000000000E+0003  0.2294484263114793E+0002  0.2472101071961828E+0002  0.2476573241253431E+0002  0.2500398381171527E+0002  0.1585000000000000E+0002
  0.1720000000000000E+0003  0.2274997062870028E+0002  0.2455721185199231E+0002  0.2460288682437076E+0002  0.2483872109453564E+0002  0.1550000000000000E+0002
